series_name,timestamp,value,min_14,mean_14,max_14
price,2010-07-31 00:00:00+00:00,0.0664,0.0495,0.06408571428571429,0.0859
price,2010-08-01 00:00:00+00:00,0.0611,0.053,0.06529285714285714,0.0859
price,2010-08-02 00:00:00+00:00,0.0613,0.053,0.06447142857142858,0.0859
price,2010-08-03 00:00:00+00:00,0.06,0.053,0.06271428571428571,0.0783
price,2010-08-04 00:00:00+00:00,0.0597,0.053,0.06140714285714286,0.0767
price,2010-08-05 00:00:00+00:00,0.0596,0.053,0.060192857142857145,0.0664
price,2010-08-06 00:00:00+00:00,0.0622,0.053,0.059814285714285716,0.0664
price,2010-08-07 00:00:00+00:00,0.0599,0.053,0.06021428571428571,0.0664
price,2010-08-08 00:00:00+00:00,0.06,0.053,0.06034285714285714,0.0664
price,2010-08-09 00:00:00+00:00,0.066,0.053,0.06084285714285714,0.0664
price,2010-08-10 00:00:00+00:00,0.069,0.058,0.061771428571428574,0.0664
price,2010-08-11 00:00:00+00:00,0.0635,0.0595,0.06255714285714285,0.069
price,2010-08-12 00:00:00+00:00,0.069,0.0596,0.06284285714285714,0.069
price,2010-08-13 00:00:00+00:00,0.0655,0.0596,0.06314285714285714,0.069
price,2010-08-14 00:00:00+00:00,0.0663,0.0596,0.06308571428571429,0.069
price,2010-08-15 00:00:00+00:00,0.0661,0.0596,0.06307857142857143,0.069
price,2010-08-16 00:00:00+00:00,0.0643,0.0596,0.06343571428571429,0.069
price,2010-08-17 00:00:00+00:00,0.0678,0.0596,0.06365,0.069
price,2010-08-18 00:00:00+00:00,0.069,0.0596,0.06420714285714287,0.069
price,2010-08-19 00:00:00+00:00,0.0673,0.0596,0.06487142857142857,0.069
price,2010-08-20 00:00:00+00:00,0.0661,0.0599,0.06542142857142857,0.069
price,2010-08-21 00:00:00+00:00,0.066,0.0599,0.0657,0.069
price,2010-08-22 00:00:00+00:00,0.0655,0.06,0.06613571428571428,0.069
price,2010-08-23 00:00:00+00:00,0.0655,0.0635,0.06652857142857142,0.069
price,2010-08-24 00:00:00+00:00,0.065,0.0635,0.06649285714285715,0.069
price,2010-08-25 00:00:00+00:00,0.0656,0.0635,0.06620714285714287,0.069
price,2010-08-26 00:00:00+00:00,0.0644,0.0643,0.06635714285714286,0.069
price,2010-08-27 00:00:00+00:00,0.0645,0.0643,0.06602857142857144,0.069
price,2010-08-28 00:00:00+00:00,0.0646,0.0643,0.06595714285714285,0.069
price,2010-08-29 00:00:00+00:00,0.0644,0.0643,0.06583571428571429,0.069
price,2010-08-30 00:00:00+00:00,0.0648,0.0643,0.06571428571428571,0.069
price,2010-08-31 00:00:00+00:00,0.0621,0.0644,0.06575,0.069
price,2010-09-01 00:00:00+00:00,0.0625,0.0621,0.06534285714285713,0.069
price,2010-09-02 00:00:00+00:00,0.0622,0.0621,0.06487857142857142,0.0673
price,2010-09-03 00:00:00+00:00,0.0609,0.0621,0.06451428571428572,0.0661
price,2010-09-04 00:00:00+00:00,0.0618,0.0609,0.06414285714285714,0.066
price,2010-09-05 00:00:00+00:00,0.062,0.0609,0.06384285714285715,0.0656
price,2010-09-06 00:00:00+00:00,0.0622,0.0609,0.06359285714285715,0.0656
price,2010-09-07 00:00:00+00:00,0.0613,0.0609,0.06335714285714286,0.0656
price,2010-09-08 00:00:00+00:00,0.0615,0.0609,0.06309285714285714,0.0656
price,2010-09-09 00:00:00+00:00,0.0611,0.0609,0.0628,0.0648
price,2010-09-10 00:00:00+00:00,0.0614,0.0609,0.06256428571428571,0.0648
price,2010-09-11 00:00:00+00:00,0.0628,0.0609,0.06234285714285714,0.0648
price,2010-09-12 00:00:00+00:00,0.0618,0.0609,0.062214285714285715,0.0648
price,2010-09-13 00:00:00+00:00,0.0621,0.0609,0.062028571428571426,0.0648
price,2010-09-14 00:00:00+00:00,0.062,0.0609,0.061835714285714286,0.0628
price,2010-09-15 00:00:00+00:00,0.0615,0.0609,0.061828571428571434,0.0628
