series_name,timestamp,value,min_14,mean_14,max_14
T1,1915-01-15 00:00:00+00:00,16.0,10.8,15.549999999999999,17.8
T1,1915-01-16 00:00:00+00:00,15.3,10.8,15.87142857142857,17.8
T1,1915-01-17 00:00:00+00:00,17.8,13.7,16.192857142857143,17.8
T1,1915-01-18 00:00:00+00:00,17.8,13.7,16.485714285714288,17.8
T1,1915-01-19 00:00:00+00:00,18.7,14.4,16.77857142857143,17.8
T1,1915-01-20 00:00:00+00:00,18.7,15.3,17.085714285714285,18.7
T1,1915-01-21 00:00:00+00:00,17.0,15.3,17.20714285714286,18.7
T1,1915-01-22 00:00:00+00:00,16.1,15.3,17.20714285714286,18.7
T1,1915-01-23 00:00:00+00:00,16.1,15.3,17.085714285714285,18.7
T1,1915-01-24 00:00:00+00:00,16.1,15.3,16.964285714285715,18.7
T1,1915-01-25 00:00:00+00:00,17.0,15.3,16.9,18.7
T1,1915-01-26 00:00:00+00:00,17.0,15.3,16.97142857142857,18.7
T1,1915-01-27 00:00:00+00:00,16.1,15.3,16.97142857142857,18.7
T1,1915-01-28 00:00:00+00:00,16.1,15.3,16.90714285714286,18.7
T1,1915-01-29 00:00:00+00:00,14.4,15.3,16.84285714285714,18.7
T1,1915-01-30 00:00:00+00:00,14.4,14.4,16.72857142857143,18.7
T1,1915-01-31 00:00:00+00:00,14.4,14.4,16.664285714285715,18.7
T1,1915-02-01 00:00:00+00:00,18.1,14.4,16.42142857142857,18.7
T1,1915-02-02 00:00:00+00:00,18.1,14.4,16.442857142857143,18.7
T1,1915-02-03 00:00:00+00:00,18.1,14.4,16.4,18.7
T1,1915-02-04 00:00:00+00:00,20.1,14.4,16.357142857142858,18.1
T1,1915-02-05 00:00:00+00:00,23.4,14.4,16.57857142857143,20.1
T1,1915-02-06 00:00:00+00:00,23.4,14.4,17.1,23.4
T1,1915-02-07 00:00:00+00:00,23.4,14.4,17.62142857142857,23.4
T1,1915-02-08 00:00:00+00:00,23.4,14.4,18.142857142857142,23.4
T1,1915-02-09 00:00:00+00:00,22.2,14.4,18.599999999999998,23.4
T1,1915-02-10 00:00:00+00:00,22.2,14.4,18.97142857142857,23.4
T1,1915-02-11 00:00:00+00:00,22.2,14.4,19.407142857142855,23.4
T1,1915-02-12 00:00:00+00:00,23.4,14.4,19.842857142857145,23.4
T1,1915-02-13 00:00:00+00:00,23.4,14.4,20.485714285714284,23.4
T1,1915-02-14 00:00:00+00:00,33.7,14.4,21.12857142857143,23.4
T1,1915-02-15 00:00:00+00:00,33.7,18.1,22.50714285714286,33.7
T1,1915-02-16 00:00:00+00:00,33.7,18.1,23.62142857142857,33.7
T1,1915-02-17 00:00:00+00:00,29.7,18.1,24.735714285714284,33.7
T1,1915-02-18 00:00:00+00:00,27.0,20.1,25.564285714285717,33.7
T1,1915-02-19 00:00:00+00:00,27.0,22.2,26.057142857142857,33.7
T1,1915-02-20 00:00:00+00:00,27.0,22.2,26.314285714285717,33.7
T1,1915-02-21 00:00:00+00:00,27.0,22.2,26.571428571428573,33.7
T1,1915-02-22 00:00:00+00:00,27.0,22.2,26.82857142857143,33.7
T1,1915-02-23 00:00:00+00:00,56.6,22.2,27.08571428571429,33.7
T1,1915-02-24 00:00:00+00:00,59.7,22.2,29.54285714285714,56.6
T1,1915-02-25 00:00:00+00:00,56.6,22.2,32.221428571428575,59.7
T1,1915-02-26 00:00:00+00:00,53.2,23.4,34.67857142857143,59.7
T1,1915-02-27 00:00:00+00:00,36.2,23.4,36.807142857142864,59.7
T1,1915-02-28 00:00:00+00:00,36.2,27.0,37.721428571428575,59.7
T1,1915-03-01 00:00:00+00:00,51.8,27.0,37.9,59.7
T1,1915-03-02 00:00:00+00:00,51.8,27.0,39.19285714285714,59.7
T1,1915-03-03 00:00:00+00:00,36.2,27.0,40.48571428571428,59.7
T1,1915-03-04 00:00:00+00:00,39.1,27.0,40.95,59.7
T1,1915-03-05 00:00:00+00:00,33.4,27.0,41.814285714285724,59.7
T1,1915-03-06 00:00:00+00:00,25.5,27.0,42.27142857142858,59.7
T1,1915-03-07 00:00:00+00:00,24.2,25.5,42.16428571428572,59.7
T1,1915-03-08 00:00:00+00:00,23.2,24.2,41.964285714285715,59.7
T1,1915-03-09 00:00:00+00:00,22.1,23.2,41.69285714285714,59.7
T1,1915-03-10 00:00:00+00:00,21.1,22.1,39.228571428571435,59.7
T1,1915-03-11 00:00:00+00:00,20.1,21.1,36.47142857142857,56.6
T1,1915-03-12 00:00:00+00:00,20.1,20.1,33.864285714285714,53.2
T1,1915-03-13 00:00:00+00:00,22.1,20.1,31.5,51.8
T1,1915-03-14 00:00:00+00:00,24.2,20.1,30.49285714285714,51.8
T1,1915-03-15 00:00:00+00:00,34.3,20.1,29.635714285714283,51.8
T1,1915-03-16 00:00:00+00:00,34.8,20.1,28.385714285714283,51.8
T1,1915-03-17 00:00:00+00:00,36.8,20.1,27.171428571428574,39.1
T1,1915-03-18 00:00:00+00:00,39.1,20.1,27.214285714285715,39.1
T1,1915-03-19 00:00:00+00:00,40.5,20.1,27.214285714285715,39.1
T1,1915-03-20 00:00:00+00:00,36.8,20.1,27.721428571428568,40.5
T1,1915-03-21 00:00:00+00:00,36.2,20.1,28.52857142857143,40.5
T1,1915-03-22 00:00:00+00:00,34.8,20.1,29.385714285714283,40.5
T1,1915-03-23 00:00:00+00:00,36.8,20.1,30.214285714285715,40.5
T1,1915-03-24 00:00:00+00:00,39.9,20.1,31.264285714285712,40.5
T1,1915-03-25 00:00:00+00:00,53.2,20.1,32.607142857142854,40.5
T1,1915-03-26 00:00:00+00:00,51.3,20.1,34.97142857142857,53.2
T1,1915-03-27 00:00:00+00:00,46.2,22.1,37.199999999999996,53.2
T1,1915-03-28 00:00:00+00:00,41.1,24.2,38.92142857142857,53.2
T1,1915-03-29 00:00:00+00:00,38.5,34.3,40.128571428571426,53.2
