series_name,timestamp,value,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30
T1,1969-01-31 00:00:00+00:00,9692.0,9674.0,9380.0,10032.0,9910.0,8568.0,9022.0,9798.0,9454.0,9884.0,10474.0,9808.0,8622.0,9312.0,9974.0,9662.0,9894.0,10366.0,9834.0,8450.0,9178.0,10042.0,9434.0,9734.0,9738.0,9560.0,8390.0,8960.0,9542.0,9002.0,8486.0
T1,1969-02-01 00:00:00+00:00,9130.0,9692.0,9674.0,9380.0,10032.0,9910.0,8568.0,9022.0,9798.0,9454.0,9884.0,10474.0,9808.0,8622.0,9312.0,9974.0,9662.0,9894.0,10366.0,9834.0,8450.0,9178.0,10042.0,9434.0,9734.0,9738.0,9560.0,8390.0,8960.0,9542.0,9002.0
T1,1969-02-02 00:00:00+00:00,8814.0,9130.0,9692.0,9674.0,9380.0,10032.0,9910.0,8568.0,9022.0,9798.0,9454.0,9884.0,10474.0,9808.0,8622.0,9312.0,9974.0,9662.0,9894.0,10366.0,9834.0,8450.0,9178.0,10042.0,9434.0,9734.0,9738.0,9560.0,8390.0,8960.0,9542.0
T1,1969-02-03 00:00:00+00:00,9988.0,8814.0,9130.0,9692.0,9674.0,9380.0,10032.0,9910.0,8568.0,9022.0,9798.0,9454.0,9884.0,10474.0,9808.0,8622.0,9312.0,9974.0,9662.0,9894.0,10366.0,9834.0,8450.0,9178.0,10042.0,9434.0,9734.0,9738.0,9560.0,8390.0,8960.0
T1,1969-02-04 00:00:00+00:00,9996.0,9988.0,8814.0,9130.0,9692.0,9674.0,9380.0,10032.0,9910.0,8568.0,9022.0,9798.0,9454.0,9884.0,10474.0,9808.0,8622.0,9312.0,9974.0,9662.0,9894.0,10366.0,9834.0,8450.0,9178.0,10042.0,9434.0,9734.0,9738.0,9560.0,8390.0
T1,1969-02-05 00:00:00+00:00,9676.0,9996.0,9988.0,8814.0,9130.0,9692.0,9674.0,9380.0,10032.0,9910.0,8568.0,9022.0,9798.0,9454.0,9884.0,10474.0,9808.0,8622.0,9312.0,9974.0,9662.0,9894.0,10366.0,9834.0,8450.0,9178.0,10042.0,9434.0,9734.0,9738.0,9560.0
T1,1969-02-06 00:00:00+00:00,9728.0,9676.0,9996.0,9988.0,8814.0,9130.0,9692.0,9674.0,9380.0,10032.0,9910.0,8568.0,9022.0,9798.0,9454.0,9884.0,10474.0,9808.0,8622.0,9312.0,9974.0,9662.0,9894.0,10366.0,9834.0,8450.0,9178.0,10042.0,9434.0,9734.0,9738.0
T1,1969-02-07 00:00:00+00:00,10102.0,9728.0,9676.0,9996.0,9988.0,8814.0,9130.0,9692.0,9674.0,9380.0,10032.0,9910.0,8568.0,9022.0,9798.0,9454.0,9884.0,10474.0,9808.0,8622.0,9312.0,9974.0,9662.0,9894.0,10366.0,9834.0,8450.0,9178.0,10042.0,9434.0,9734.0
T1,1969-02-08 00:00:00+00:00,9262.0,10102.0,9728.0,9676.0,9996.0,9988.0,8814.0,9130.0,9692.0,9674.0,9380.0,10032.0,9910.0,8568.0,9022.0,9798.0,9454.0,9884.0,10474.0,9808.0,8622.0,9312.0,9974.0,9662.0,9894.0,10366.0,9834.0,8450.0,9178.0,10042.0,9434.0
T1,1969-02-09 00:00:00+00:00,8694.0,9262.0,10102.0,9728.0,9676.0,9996.0,9988.0,8814.0,9130.0,9692.0,9674.0,9380.0,10032.0,9910.0,8568.0,9022.0,9798.0,9454.0,9884.0,10474.0,9808.0,8622.0,9312.0,9974.0,9662.0,9894.0,10366.0,9834.0,8450.0,9178.0,10042.0
