series_name,timestamp,value,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
price,2010-07-24 00:00:00+00:00,0.0581,0.0566,0.0649,0.0767,0.0783,0.0859,0.0726,0.0495
price,2010-07-25 00:00:00+00:00,0.053,0.0581,0.0566,0.0649,0.0767,0.0783,0.0859,0.0726
price,2010-07-26 00:00:00+00:00,0.053,0.053,0.0581,0.0566,0.0649,0.0767,0.0783,0.0859
price,2010-07-27 00:00:00+00:00,0.058,0.053,0.053,0.0581,0.0566,0.0649,0.0767,0.0783
price,2010-07-28 00:00:00+00:00,0.0595,0.058,0.053,0.053,0.0581,0.0566,0.0649,0.0767
price,2010-07-29 00:00:00+00:00,0.0648,0.0595,0.058,0.053,0.053,0.0581,0.0566,0.0649
price,2010-07-30 00:00:00+00:00,0.0663,0.0648,0.0595,0.058,0.053,0.053,0.0581,0.0566
price,2010-07-31 00:00:00+00:00,0.0664,0.0663,0.0648,0.0595,0.058,0.053,0.053,0.0581
price,2010-08-01 00:00:00+00:00,0.0611,0.0664,0.0663,0.0648,0.0595,0.058,0.053,0.053
price,2010-08-02 00:00:00+00:00,0.0613,0.0611,0.0664,0.0663,0.0648,0.0595,0.058,0.053
price,2010-08-03 00:00:00+00:00,0.06,0.0613,0.0611,0.0664,0.0663,0.0648,0.0595,0.058
price,2010-08-04 00:00:00+00:00,0.0597,0.06,0.0613,0.0611,0.0664,0.0663,0.0648,0.0595
price,2010-08-05 00:00:00+00:00,0.0596,0.0597,0.06,0.0613,0.0611,0.0664,0.0663,0.0648
price,2010-08-06 00:00:00+00:00,0.0622,0.0596,0.0597,0.06,0.0613,0.0611,0.0664,0.0663
price,2010-08-07 00:00:00+00:00,0.0599,0.0622,0.0596,0.0597,0.06,0.0613,0.0611,0.0664
price,2010-08-08 00:00:00+00:00,0.06,0.0599,0.0622,0.0596,0.0597,0.06,0.0613,0.0611
price,2010-08-09 00:00:00+00:00,0.066,0.06,0.0599,0.0622,0.0596,0.0597,0.06,0.0613
price,2010-08-10 00:00:00+00:00,0.069,0.066,0.06,0.0599,0.0622,0.0596,0.0597,0.06
price,2010-08-11 00:00:00+00:00,0.0635,0.069,0.066,0.06,0.0599,0.0622,0.0596,0.0597
price,2010-08-12 00:00:00+00:00,0.069,0.0635,0.069,0.066,0.06,0.0599,0.0622,0.0596
price,2010-08-13 00:00:00+00:00,0.0655,0.069,0.0635,0.069,0.066,0.06,0.0599,0.0622
price,2010-08-14 00:00:00+00:00,0.0663,0.0655,0.069,0.0635,0.069,0.066,0.06,0.0599
price,2010-08-15 00:00:00+00:00,0.0661,0.0663,0.0655,0.069,0.0635,0.069,0.066,0.06
price,2010-08-16 00:00:00+00:00,0.0643,0.0661,0.0663,0.0655,0.069,0.0635,0.069,0.066
price,2010-08-17 00:00:00+00:00,0.0678,0.0643,0.0661,0.0663,0.0655,0.069,0.0635,0.069
price,2010-08-18 00:00:00+00:00,0.069,0.0678,0.0643,0.0661,0.0663,0.0655,0.069,0.0635
price,2010-08-19 00:00:00+00:00,0.0673,0.069,0.0678,0.0643,0.0661,0.0663,0.0655,0.069
price,2010-08-20 00:00:00+00:00,0.0661,0.0673,0.069,0.0678,0.0643,0.0661,0.0663,0.0655
price,2010-08-21 00:00:00+00:00,0.066,0.0661,0.0673,0.069,0.0678,0.0643,0.0661,0.0663
price,2010-08-22 00:00:00+00:00,0.0655,0.066,0.0661,0.0673,0.069,0.0678,0.0643,0.0661
price,2010-08-23 00:00:00+00:00,0.0655,0.0655,0.066,0.0661,0.0673,0.069,0.0678,0.0643
price,2010-08-24 00:00:00+00:00,0.065,0.0655,0.0655,0.066,0.0661,0.0673,0.069,0.0678
price,2010-08-25 00:00:00+00:00,0.0656,0.065,0.0655,0.0655,0.066,0.0661,0.0673,0.069
price,2010-08-26 00:00:00+00:00,0.0644,0.0656,0.065,0.0655,0.0655,0.066,0.0661,0.0673
price,2010-08-27 00:00:00+00:00,0.0645,0.0644,0.0656,0.065,0.0655,0.0655,0.066,0.0661
price,2010-08-28 00:00:00+00:00,0.0646,0.0645,0.0644,0.0656,0.065,0.0655,0.0655,0.066
price,2010-08-29 00:00:00+00:00,0.0644,0.0646,0.0645,0.0644,0.0656,0.065,0.0655,0.0655
price,2010-08-30 00:00:00+00:00,0.0648,0.0644,0.0646,0.0645,0.0644,0.0656,0.065,0.0655
price,2010-08-31 00:00:00+00:00,0.0621,0.0648,0.0644,0.0646,0.0645,0.0644,0.0656,0.065
price,2010-09-01 00:00:00+00:00,0.0625,0.0621,0.0648,0.0644,0.0646,0.0645,0.0644,0.0656
price,2010-09-02 00:00:00+00:00,0.0622,0.0625,0.0621,0.0648,0.0644,0.0646,0.0645,0.0644
price,2010-09-03 00:00:00+00:00,0.0609,0.0622,0.0625,0.0621,0.0648,0.0644,0.0646,0.0645
price,2010-09-04 00:00:00+00:00,0.0618,0.0609,0.0622,0.0625,0.0621,0.0648,0.0644,0.0646
price,2010-09-05 00:00:00+00:00,0.062,0.0618,0.0609,0.0622,0.0625,0.0621,0.0648,0.0644
price,2010-09-06 00:00:00+00:00,0.0622,0.062,0.0618,0.0609,0.0622,0.0625,0.0621,0.0648
price,2010-09-07 00:00:00+00:00,0.0613,0.0622,0.062,0.0618,0.0609,0.0622,0.0625,0.0621
price,2010-09-08 00:00:00+00:00,0.0615,0.0613,0.0622,0.062,0.0618,0.0609,0.0622,0.0625
price,2010-09-09 00:00:00+00:00,0.0611,0.0615,0.0613,0.0622,0.062,0.0618,0.0609,0.0622
price,2010-09-10 00:00:00+00:00,0.0614,0.0611,0.0615,0.0613,0.0622,0.062,0.0618,0.0609
price,2010-09-11 00:00:00+00:00,0.0628,0.0614,0.0611,0.0615,0.0613,0.0622,0.062,0.0618
price,2010-09-12 00:00:00+00:00,0.0618,0.0628,0.0614,0.0611,0.0615,0.0613,0.0622,0.062
