series_name,timestamp,value,p5_30,p10_30,p25_30,p50_30,p75_30,p90_30,p95_30
T1,1969-01-31 00:00:00+00:00,9692.0,8466.2,8559.8,9061.0,9611.0,9871.5,10033.0,10220.199999999999
T1,1969-02-01 00:00:00+00:00,9130.0,8503.1,8616.6,9211.5,9668.0,9871.5,10033.0,10220.199999999999
T1,1969-02-02 00:00:00+00:00,8814.0,8503.1,8616.6,9211.5,9668.0,9871.5,10033.0,10220.199999999999
T1,1969-02-03 00:00:00+00:00,9988.0,8503.1,8616.6,9142.0,9668.0,9871.5,10033.0,10220.199999999999
T1,1969-02-04 00:00:00+00:00,9996.0,8503.1,8616.6,9211.5,9683.0,9891.5,10033.0,10220.199999999999
T1,1969-02-05 00:00:00+00:00,9676.0,8592.3,8794.8,9329.0,9713.0,9906.0,10033.0,10220.199999999999
T1,1969-02-06 00:00:00+00:00,9728.0,8592.3,8794.8,9329.0,9713.0,9906.0,10033.0,10220.199999999999
T1,1969-02-07 00:00:00+00:00,10102.0,8592.3,8794.8,9329.0,9710.0,9906.0,10033.0,10220.199999999999
T1,1969-02-08 00:00:00+00:00,9262.0,8592.3,8794.8,9329.0,9710.0,9958.0,10048.0,10247.199999999999
T1,1969-02-09 00:00:00+00:00,8694.0,8592.3,8794.8,9274.5,9710.0,9958.0,10048.0,10247.199999999999
T1,1969-02-10 00:00:00+00:00,9954.0,8592.3,8686.8,9199.0,9684.0,9906.0,10039.0,10247.199999999999
T1,1969-02-11 00:00:00+00:00,9856.0,8592.3,8686.8,9274.5,9710.0,9943.0,10039.0,10247.199999999999
T1,1969-02-12 00:00:00+00:00,10008.0,8654.4,8802.0,9329.0,9763.0,9943.0,10039.0,10247.199999999999
T1,1969-02-13 00:00:00+00:00,9606.0,8654.4,8802.0,9329.0,9763.0,9969.0,10039.0,10247.199999999999
T1,1969-02-14 00:00:00+00:00,10354.0,8654.4,8802.0,9329.0,9710.0,9943.0,10010.4,10070.5
T1,1969-02-15 00:00:00+00:00,9310.0,8654.4,8802.0,9329.0,9710.0,9969.0,10039.0,10240.599999999999
T1,1969-02-16 00:00:00+00:00,8534.0,8654.4,8802.0,9310.5,9710.0,9969.0,10039.0,10240.599999999999
T1,1969-02-17 00:00:00+00:00,9822.0,8592.3,8686.8,9274.0,9684.0,9943.0,10039.0,10240.599999999999
T1,1969-02-18 00:00:00+00:00,10176.0,8592.3,8686.8,9274.0,9710.0,9943.0,10039.0,10240.599999999999
T1,1969-02-19 00:00:00+00:00,9816.0,8624.7,8802.0,9327.5,9763.0,9979.5,10109.4,10273.9
T1,1969-02-20 00:00:00+00:00,9982.0,8624.7,8802.0,9327.5,9763.0,9979.5,10109.4,10273.9
T1,1969-02-21 00:00:00+00:00,9916.0,8624.7,8802.0,9327.5,9763.0,9975.0,10039.0,10142.699999999999
T1,1969-02-22 00:00:00+00:00,9152.0,8624.7,8802.0,9327.5,9763.0,9975.0,10039.0,10142.699999999999
T1,1969-02-23 00:00:00+00:00,8704.0,8624.7,8802.0,9274.0,9763.0,9975.0,10039.0,10142.699999999999
T1,1969-02-24 00:00:00+00:00,9966.0,8624.7,8703.0,9179.5,9710.0,9975.0,10039.0,10142.699999999999
T1,1969-02-25 00:00:00+00:00,10566.0,8624.7,8703.0,9274.0,9772.0,9978.0,10039.0,10142.699999999999
T1,1969-02-26 00:00:00+00:00,10048.0,8698.5,8803.0,9327.5,9819.0,9986.5,10109.4,10273.9
T1,1969-02-27 00:00:00+00:00,9618.0,8698.5,8803.0,9327.5,9819.0,9994.0,10109.4,10273.9
T1,1969-02-28 00:00:00+00:00,9756.0,8698.5,8803.0,9327.5,9772.0,9986.5,10109.4,10273.9
T1,1969-03-01 00:00:00+00:00,9186.0,8698.5,8803.0,9384.0,9786.0,9986.5,10109.4,10273.9
T1,1969-03-02 00:00:00+00:00,8580.0,8698.5,8803.0,9274.0,9786.0,9986.5,10109.4,10273.9
T1,1969-03-03 00:00:00+00:00,10068.0,8631.3,8703.0,9205.0,9786.0,9986.5,10109.4,10273.9
T1,1969-03-04 00:00:00+00:00,10264.0,8631.3,8703.0,9274.0,9819.0,9994.0,10109.4,10273.9
T1,1969-03-05 00:00:00+00:00,10046.0,8631.3,8703.0,9384.0,9839.0,10005.0,10184.8,10313.5
T1,1969-03-06 00:00:00+00:00,9704.0,8631.3,8703.0,9384.0,9839.0,10036.5,10184.8,10313.5
T1,1969-03-07 00:00:00+00:00,9948.0,8631.3,8703.0,9384.0,9819.0,10036.5,10184.8,10313.5
T1,1969-03-08 00:00:00+00:00,9334.0,8631.3,8703.0,9384.0,9839.0,10036.5,10184.8,10313.5
T1,1969-03-09 00:00:00+00:00,8394.0,8631.3,8703.0,9316.0,9839.0,10036.5,10184.8,10313.5
T1,1969-03-10 00:00:00+00:00,9892.0,8554.7,8682.6,9274.0,9819.0,10001.5,10184.8,10313.5
T1,1969-03-11 00:00:00+00:00,10188.0,8554.7,8682.6,9316.0,9839.0,10001.5,10184.8,10313.5
T1,1969-03-12 00:00:00+00:00,9776.0,8554.7,8691.6,9402.0,9874.0,10036.5,10195.6,10313.5
T1,1969-03-13 00:00:00+00:00,9640.0,8554.7,8691.6,9402.0,9839.0,10036.5,10195.6,10313.5
T1,1969-03-14 00:00:00+00:00,10034.0,8554.7,8691.6,9402.0,9819.0,10036.5,10195.6,10313.5
T1,1969-03-15 00:00:00+00:00,8838.0,8554.7,8691.6,9402.0,9819.0,10043.0,10195.6,10313.5
T1,1969-03-16 00:00:00+00:00,8336.0,8554.7,8691.6,9316.0,9819.0,10043.0,10195.6,10313.5
T1,1969-03-17 00:00:00+00:00,10128.0,8457.0,8575.4,9217.0,9796.0,10021.0,10177.2,10229.8
T1,1969-03-18 00:00:00+00:00,10136.0,8457.0,8575.4,9223.0,9819.0,10043.0,10177.2,10229.8
T1,1969-03-19 00:00:00+00:00,10064.0,8477.7,8691.6,9405.0,9857.0,10047.5,10177.2,10229.8
T1,1969-03-20 00:00:00+00:00,9812.0,8477.7,8691.6,9405.0,9904.0,10060.0,10177.2,10229.8
T1,1969-03-21 00:00:00+00:00,9902.0,8477.7,8691.6,9405.0,9854.0,10047.5,10141.2,10229.8
T1,1969-03-22 00:00:00+00:00,8962.0,8477.7,8691.6,9405.0,9897.0,10047.5,10141.2,10229.8
T1,1969-03-23 00:00:00+00:00,8602.0,8477.7,8691.6,9223.0,9852.0,10047.5,10141.2,10229.8
T1,1969-03-24 00:00:00+00:00,9802.0,8477.7,8599.8,9160.5,9794.0,10047.5,10141.2,10229.8
T1,1969-03-25 00:00:00+00:00,10272.0,8477.7,8599.8,9223.0,9807.0,10047.5,10141.2,10229.8
T1,1969-03-26 00:00:00+00:00,9818.0,8477.7,8599.8,9405.0,9852.0,10060.0,10195.6,10268.4
T1,1969-03-27 00:00:00+00:00,9698.0,8477.7,8599.8,9405.0,9815.0,10060.0,10195.6,10268.4
T1,1969-03-28 00:00:00+00:00,10326.0,8477.7,8599.8,9405.0,9807.0,10047.5,10141.2,10229.8
T1,1969-03-29 00:00:00+00:00,8908.0,8477.7,8599.8,9405.0,9807.0,10059.5,10195.6,10268.4
T1,1969-03-30 00:00:00+00:00,8186.0,8477.7,8599.8,9223.0,9807.0,10059.5,10195.6,10268.4
T1,1969-03-31 00:00:00+00:00,9592.0,8362.1,8561.4,9018.0,9807.0,10059.5,10195.6,10268.4
T1,1969-04-01 00:00:00+00:00,9960.0,8362.1,8561.4,9055.0,9807.0,10059.5,10195.6,10268.4
T1,1969-04-02 00:00:00+00:00,9978.0,8362.1,8581.2,9398.5,9815.0,10059.5,10195.6,10268.4
T1,1969-04-03 00:00:00+00:00,9530.0,8362.1,8581.2,9398.5,9815.0,10043.0,10195.6,10268.4
T1,1969-04-04 00:00:00+00:00,9572.0,8362.1,8581.2,9383.0,9807.0,10020.0,10141.2,10234.199999999999
T1,1969-04-05 00:00:00+00:00,8748.0,8362.1,8581.2,9383.0,9789.0,9973.5,10141.2,10234.199999999999
T1,1969-04-06 00:00:00+00:00,8008.0,8362.1,8581.2,9055.0,9789.0,9973.5,10141.2,10234.199999999999
T1,1969-04-07 00:00:00+00:00,9374.0,8253.5,8388.2,8921.5,9737.0,9973.5,10141.2,10234.199999999999
T1,1969-04-08 00:00:00+00:00,10176.0,8253.5,8388.2,8921.5,9737.0,9973.5,10141.2,10234.199999999999
T1,1969-04-09 00:00:00+00:00,9852.0,8253.5,8575.4,9065.0,9789.0,10020.0,10177.2,10234.199999999999
T1,1969-04-10 00:00:00+00:00,9708.0,8253.5,8575.4,9065.0,9789.0,10020.0,10177.2,10234.199999999999
T1,1969-04-11 00:00:00+00:00,9920.0,8253.5,8575.4,9065.0,9742.0,9973.5,10140.0,10228.8
T1,1969-04-12 00:00:00+00:00,8940.0,8253.5,8575.4,9065.0,9755.0,9973.5,10140.0,10228.8
T1,1969-04-13 00:00:00+00:00,8134.0,8253.5,8575.4,8945.5,9755.0,9973.5,10140.0,10228.8
T1,1969-04-14 00:00:00+00:00,9566.0,8157.4,8321.0,8916.0,9703.0,9950.0,10140.0,10228.8
T1,1969-04-15 00:00:00+00:00,10428.0,8157.4,8321.0,8945.5,9703.0,9950.0,10140.0,10228.8
T1,1969-04-16 00:00:00+00:00,9840.0,8157.4,8560.4,9065.0,9755.0,9973.5,10185.6,10301.7
T1,1969-04-17 00:00:00+00:00,9876.0,8157.4,8560.4,9065.0,9755.0,9950.0,10185.6,10301.7
T1,1969-04-18 00:00:00+00:00,9872.0,8157.4,8560.4,9065.0,9755.0,9915.5,10185.6,10301.7
T1,1969-04-19 00:00:00+00:00,8994.0,8157.4,8560.4,9065.0,9755.0,9895.5,10185.6,10301.7
T1,1969-04-20 00:00:00+00:00,7928.0,8157.4,8560.4,8970.0,9703.0,9895.5,10185.6,10301.7
T1,1969-04-21 00:00:00+00:00,9610.0,8064.7,8180.8,8945.5,9645.0,9875.0,10185.6,10301.7
T1,1969-04-22 00:00:00+00:00,10226.0,8064.7,8180.8,8953.5,9654.0,9875.0,10185.6,10301.7
