series_name,timestamp,value,p5_7,p10_7,p25_7,p50_7,p75_7,p90_7,p95_7
T1,1915-01-08 00:00:00+00:00,17.8,11.01,11.22,12.6,13.7,15.7,17.0,17.0
T1,1915-01-09 00:00:00+00:00,17.8,11.67,12.54,13.7,14.4,17.0,17.32,17.56
T1,1915-01-10 00:00:00+00:00,17.0,13.7,13.7,14.05,17.0,17.4,17.8,17.8
T1,1915-01-11 00:00:00+00:00,16.0,13.91,14.12,15.7,17.0,17.4,17.8,17.8
T1,1915-01-12 00:00:00+00:00,17.0,14.88,15.36,16.5,17.0,17.4,17.8,17.8
T1,1915-01-13 00:00:00+00:00,17.0,16.3,16.6,17.0,17.0,17.4,17.8,17.8
T1,1915-01-14 00:00:00+00:00,17.0,16.3,16.6,17.0,17.0,17.4,17.8,17.8
T1,1915-01-15 00:00:00+00:00,16.0,16.3,16.6,17.0,17.0,17.4,17.8,17.8
T1,1915-01-16 00:00:00+00:00,15.3,16.0,16.0,16.5,17.0,17.0,17.32,17.56
T1,1915-01-17 00:00:00+00:00,17.8,15.51,15.72,16.0,17.0,17.0,17.0,17.0
T1,1915-01-18 00:00:00+00:00,17.8,15.51,15.72,16.0,17.0,17.0,17.32,17.56
T1,1915-01-19 00:00:00+00:00,18.7,15.51,15.72,16.5,17.0,17.4,17.8,17.8
T1,1915-01-20 00:00:00+00:00,18.7,15.51,15.72,16.5,17.0,17.8,18.16,18.43
T1,1915-01-21 00:00:00+00:00,17.0,15.51,15.72,16.5,17.8,18.25,18.7,18.7
T1,1915-01-22 00:00:00+00:00,16.1,15.51,15.72,16.5,17.8,18.25,18.7,18.7
T1,1915-01-23 00:00:00+00:00,16.1,15.540000000000001,15.780000000000001,16.55,17.8,18.25,18.7,18.7
T1,1915-01-24 00:00:00+00:00,16.1,16.1,16.1,16.55,17.8,18.25,18.7,18.7
T1,1915-01-25 00:00:00+00:00,17.0,16.1,16.1,16.1,17.0,18.25,18.7,18.7
T1,1915-01-26 00:00:00+00:00,17.0,16.1,16.1,16.1,17.0,17.85,18.7,18.7
T1,1915-01-27 00:00:00+00:00,16.1,16.1,16.1,16.1,17.0,17.0,17.68,18.189999999999998
T1,1915-01-28 00:00:00+00:00,16.1,16.1,16.1,16.1,16.1,17.0,17.0,17.0
T1,1915-01-29 00:00:00+00:00,14.4,16.1,16.1,16.1,16.1,16.55,17.0,17.0
T1,1915-01-30 00:00:00+00:00,14.4,14.91,15.420000000000002,16.1,16.1,16.55,17.0,17.0
T1,1915-01-31 00:00:00+00:00,14.4,14.4,14.4,15.25,16.1,16.55,17.0,17.0
T1,1915-02-01 00:00:00+00:00,18.1,14.4,14.4,14.4,16.1,16.55,17.0,17.0
T1,1915-02-02 00:00:00+00:00,18.1,14.4,14.4,14.4,16.1,16.55,17.44,17.77
T1,1915-02-03 00:00:00+00:00,18.1,14.4,14.4,14.4,16.1,17.1,18.1,18.1
T1,1915-02-04 00:00:00+00:00,20.1,14.4,14.4,14.4,16.1,18.1,18.1,18.1
T1,1915-02-05 00:00:00+00:00,23.4,14.4,14.4,14.4,18.1,18.1,18.900000000000002,19.5
T1,1915-02-06 00:00:00+00:00,23.4,14.4,14.4,16.25,18.1,19.1,21.42,22.409999999999997
T1,1915-02-07 00:00:00+00:00,23.4,15.510000000000002,16.62,18.1,18.1,21.75,23.4,23.4
T1,1915-02-08 00:00:00+00:00,23.4,18.1,18.1,18.1,20.1,23.4,23.4,23.4
T1,1915-02-09 00:00:00+00:00,22.2,18.1,18.1,19.1,23.4,23.4,23.4,23.4
T1,1915-02-10 00:00:00+00:00,22.2,18.700000000000003,19.3,21.15,23.4,23.4,23.4,23.4
T1,1915-02-11 00:00:00+00:00,22.2,20.73,21.36,22.2,23.4,23.4,23.4,23.4
T1,1915-02-12 00:00:00+00:00,23.4,22.2,22.2,22.2,23.4,23.4,23.4,23.4
T1,1915-02-13 00:00:00+00:00,23.4,22.2,22.2,22.2,23.4,23.4,23.4,23.4
T1,1915-02-14 00:00:00+00:00,33.7,22.2,22.2,22.2,23.4,23.4,23.4,23.4
T1,1915-02-15 00:00:00+00:00,33.7,22.2,22.2,22.2,23.4,23.4,27.520000000000003,30.609999999999992
T1,1915-02-16 00:00:00+00:00,33.7,22.2,22.2,22.2,23.4,28.55,33.7,33.7
T1,1915-02-17 00:00:00+00:00,29.7,22.2,22.2,22.799999999999997,23.4,33.7,33.7,33.7
T1,1915-02-18 00:00:00+00:00,27.0,22.56,22.919999999999998,23.4,29.7,33.7,33.7,33.7
T1,1915-02-19 00:00:00+00:00,27.0,23.4,23.4,25.2,29.7,33.7,33.7,33.7
T1,1915-02-20 00:00:00+00:00,27.0,24.48,25.56,27.0,29.7,33.7,33.7,33.7
T1,1915-02-21 00:00:00+00:00,27.0,27.0,27.0,27.0,29.7,33.7,33.7,33.7
T1,1915-02-22 00:00:00+00:00,27.0,27.0,27.0,27.0,27.0,31.700000000000003,33.7,33.7
T1,1915-02-23 00:00:00+00:00,56.6,27.0,27.0,27.0,27.0,28.35,31.3,32.5
T1,1915-02-24 00:00:00+00:00,59.7,27.0,27.0,27.0,27.0,28.35,40.46000000000001,48.52999999999999
T1,1915-02-25 00:00:00+00:00,56.6,27.0,27.0,27.0,27.0,41.8,57.84,58.77
T1,1915-02-26 00:00:00+00:00,53.2,27.0,27.0,27.0,27.0,56.6,57.84,58.77
T1,1915-02-27 00:00:00+00:00,36.2,27.0,27.0,27.0,53.2,56.6,57.84,58.77
T1,1915-02-28 00:00:00+00:00,36.2,27.0,27.0,31.6,53.2,56.6,57.84,58.77
T1,1915-03-01 00:00:00+00:00,51.8,29.76,32.52,36.2,53.2,56.6,57.84,58.77
T1,1915-03-02 00:00:00+00:00,51.8,36.2,36.2,44.0,53.2,56.6,57.84,58.77
T1,1915-03-03 00:00:00+00:00,36.2,36.2,36.2,44.0,51.8,54.900000000000006,57.84,58.77
T1,1915-03-04 00:00:00+00:00,39.1,36.2,36.2,36.2,51.8,52.5,54.56,55.58
T1,1915-03-05 00:00:00+00:00,33.4,36.2,36.2,36.2,39.1,51.8,52.36,52.78
