series_name,timestamp,value
price,2010-07-17 00:00:00+00:00,0.0495
price,2010-07-18 00:00:00+00:00,0.0726
price,2010-07-19 00:00:00+00:00,0.0859
price,2010-07-20 00:00:00+00:00,0.0783
price,2010-07-21 00:00:00+00:00,0.0767
price,2010-07-22 00:00:00+00:00,0.0649
price,2010-07-23 00:00:00+00:00,0.0566
price,2010-07-24 00:00:00+00:00,0.0581
price,2010-07-25 00:00:00+00:00,0.053
price,2010-07-26 00:00:00+00:00,0.053
price,2010-07-27 00:00:00+00:00,0.058
price,2010-07-28 00:00:00+00:00,0.0595
price,2010-07-29 00:00:00+00:00,0.0648
price,2010-07-30 00:00:00+00:00,0.0663
price,2010-07-31 00:00:00+00:00,0.0664
price,2010-08-01 00:00:00+00:00,0.0611
price,2010-08-02 00:00:00+00:00,0.0613
price,2010-08-03 00:00:00+00:00,0.06
price,2010-08-04 00:00:00+00:00,0.0597
price,2010-08-05 00:00:00+00:00,0.0596
price,2010-08-06 00:00:00+00:00,0.0622
price,2010-08-07 00:00:00+00:00,0.0599
price,2010-08-08 00:00:00+00:00,0.06
price,2010-08-09 00:00:00+00:00,0.066
price,2010-08-10 00:00:00+00:00,0.069
price,2010-08-11 00:00:00+00:00,0.0635
price,2010-08-12 00:00:00+00:00,0.069
price,2010-08-13 00:00:00+00:00,0.0655
price,2010-08-14 00:00:00+00:00,0.0663
price,2010-08-15 00:00:00+00:00,0.0661
price,2010-08-16 00:00:00+00:00,0.0643
price,2010-08-17 00:00:00+00:00,0.0678
price,2010-08-18 00:00:00+00:00,0.069
price,2010-08-19 00:00:00+00:00,0.0673
price,2010-08-20 00:00:00+00:00,0.0661
price,2010-08-21 00:00:00+00:00,0.066
price,2010-08-22 00:00:00+00:00,0.0655
price,2010-08-23 00:00:00+00:00,0.0655
price,2010-08-24 00:00:00+00:00,0.065
price,2010-08-25 00:00:00+00:00,0.0656
price,2010-08-26 00:00:00+00:00,0.0644
price,2010-08-27 00:00:00+00:00,0.0645
price,2010-08-28 00:00:00+00:00,0.0646
price,2010-08-29 00:00:00+00:00,0.0644
price,2010-08-30 00:00:00+00:00,0.0648
price,2010-08-31 00:00:00+00:00,0.0621
price,2010-09-01 00:00:00+00:00,0.0625
price,2010-09-02 00:00:00+00:00,0.0622
price,2010-09-03 00:00:00+00:00,0.0609
price,2010-09-04 00:00:00+00:00,0.0618
price,2010-09-05 00:00:00+00:00,0.062
price,2010-09-06 00:00:00+00:00,0.0622
price,2010-09-07 00:00:00+00:00,0.0613
price,2010-09-08 00:00:00+00:00,0.0615
price,2010-09-09 00:00:00+00:00,0.0611
price,2010-09-10 00:00:00+00:00,0.0614
price,2010-09-11 00:00:00+00:00,0.0628
price,2010-09-12 00:00:00+00:00,0.0618
price,2010-09-13 00:00:00+00:00,0.0621
price,2010-09-14 00:00:00+00:00,0.062
price,2010-09-15 00:00:00+00:00,0.0615
price,2010-09-16 00:00:00+00:00,0.0619
price,2010-09-17 00:00:00+00:00,0.0599
price,2010-09-18 00:00:00+00:00,0.06
price,2010-09-19 00:00:00+00:00,0.0618
price,2010-09-20 00:00:00+00:00,0.0621
price,2010-09-21 00:00:00+00:00,0.0629
price,2010-09-22 00:00:00+00:00,0.0623
price,2010-09-23 00:00:00+00:00,0.0622
price,2010-09-24 00:00:00+00:00,0.0621
price,2010-09-25 00:00:00+00:00,0.0621
price,2010-09-26 00:00:00+00:00,0.062
price,2010-09-27 00:00:00+00:00,0.0621
price,2010-09-28 00:00:00+00:00,0.0619
price,2010-09-29 00:00:00+00:00,0.062
price,2010-09-30 00:00:00+00:00,0.0618
price,2010-10-01 00:00:00+00:00,0.0619
price,2010-10-02 00:00:00+00:00,0.0616
price,2010-10-03 00:00:00+00:00,0.0613
price,2010-10-04 00:00:00+00:00,0.0612
price,2010-10-05 00:00:00+00:00,0.0614
price,2010-10-06 00:00:00+00:00,0.0622
price,2010-10-07 00:00:00+00:00,0.0651
price,2010-10-08 00:00:00+00:00,0.0769
price,2010-10-09 00:00:00+00:00,0.0884
price,2010-10-10 00:00:00+00:00,0.0948
price,2010-10-11 00:00:00+00:00,0.093
price,2010-10-12 00:00:00+00:00,0.0945
price,2010-10-13 00:00:00+00:00,0.0985
price,2010-10-14 00:00:00+00:00,0.103
price,2010-10-15 00:00:00+00:00,0.103
price,2010-10-16 00:00:00+00:00,0.101
price,2010-10-17 00:00:00+00:00,0.102
price,2010-10-18 00:00:00+00:00,0.103
price,2010-10-19 00:00:00+00:00,0.0985
price,2010-10-20 00:00:00+00:00,0.0995
price,2010-10-21 00:00:00+00:00,0.102
price,2010-10-22 00:00:00+00:00,0.105
price,2010-10-23 00:00:00+00:00,0.107
price,2010-10-24 00:00:00+00:00,0.112
price,2010-10-25 00:00:00+00:00,0.111
price,2010-10-26 00:00:00+00:00,0.142
price,2010-10-27 00:00:00+00:00,0.169
price,2010-10-28 00:00:00+00:00,0.179
price,2010-10-29 00:00:00+00:00,0.185
price,2010-10-30 00:00:00+00:00,0.193
price,2010-10-31 00:00:00+00:00,0.193
price,2010-11-01 00:00:00+00:00,0.194
price,2010-11-02 00:00:00+00:00,0.193
price,2010-11-03 00:00:00+00:00,0.193
price,2010-11-04 00:00:00+00:00,0.214
price,2010-11-05 00:00:00+00:00,0.235
price,2010-11-06 00:00:00+00:00,0.326
price,2010-11-07 00:00:00+00:00,0.405
price,2010-11-08 00:00:00+00:00,0.294
price,2010-11-09 00:00:00+00:00,0.237
price,2010-11-10 00:00:00+00:00,0.225
price,2010-11-11 00:00:00+00:00,0.227
price,2010-11-12 00:00:00+00:00,0.249
price,2010-11-13 00:00:00+00:00,0.282
price,2010-11-14 00:00:00+00:00,0.278
price,2010-11-15 00:00:00+00:00,0.274
price,2010-11-16 00:00:00+00:00,0.246
price,2010-11-17 00:00:00+00:00,0.226
price,2010-11-18 00:00:00+00:00,0.245
price,2010-11-19 00:00:00+00:00,0.274
price,2010-11-20 00:00:00+00:00,0.282
price,2010-11-21 00:00:00+00:00,0.277
price,2010-11-22 00:00:00+00:00,0.28
price,2010-11-23 00:00:00+00:00,0.283
price,2010-11-24 00:00:00+00:00,0.283
price,2010-11-25 00:00:00+00:00,0.281
price,2010-11-26 00:00:00+00:00,0.282
price,2010-11-27 00:00:00+00:00,0.284
price,2010-11-28 00:00:00+00:00,0.277
price,2010-11-29 00:00:00+00:00,0.254
price,2010-11-30 00:00:00+00:00,0.219
price,2010-12-01 00:00:00+00:00,0.219
price,2010-12-02 00:00:00+00:00,0.242
price,2010-12-03 00:00:00+00:00,0.251
price,2010-12-04 00:00:00+00:00,0.23
price,2010-12-05 00:00:00+00:00,0.205
price,2010-12-06 00:00:00+00:00,0.215
price,2010-12-07 00:00:00+00:00,0.213
price,2010-12-08 00:00:00+00:00,0.239
price,2010-12-09 00:00:00+00:00,0.213
price,2010-12-10 00:00:00+00:00,0.202
price,2010-12-11 00:00:00+00:00,0.216
price,2010-12-12 00:00:00+00:00,0.214
price,2010-12-13 00:00:00+00:00,0.22
price,2010-12-14 00:00:00+00:00,0.238
price,2010-12-15 00:00:00+00:00,0.242
price,2010-12-16 00:00:00+00:00,0.244
price,2010-12-17 00:00:00+00:00,0.245
price,2010-12-18 00:00:00+00:00,0.245
price,2010-12-19 00:00:00+00:00,0.244
price,2010-12-20 00:00:00+00:00,0.254
price,2010-12-21 00:00:00+00:00,0.25
price,2010-12-22 00:00:00+00:00,0.247
price,2010-12-23 00:00:00+00:00,0.249
price,2010-12-24 00:00:00+00:00,0.249
price,2010-12-25 00:00:00+00:00,0.249
price,2010-12-26 00:00:00+00:00,0.257
price,2010-12-27 00:00:00+00:00,0.258
price,2010-12-28 00:00:00+00:00,0.272
price,2010-12-29 00:00:00+00:00,0.286
price,2010-12-30 00:00:00+00:00,0.296
price,2010-12-31 00:00:00+00:00,0.3
price,2011-01-01 00:00:00+00:00,0.296
price,2011-01-02 00:00:00+00:00,0.297
price,2011-01-03 00:00:00+00:00,0.293
price,2011-01-04 00:00:00+00:00,0.297
price,2011-01-05 00:00:00+00:00,0.294
price,2011-01-06 00:00:00+00:00,0.299
price,2011-01-07 00:00:00+00:00,0.309
price,2011-01-08 00:00:00+00:00,0.316
price,2011-01-09 00:00:00+00:00,0.323
price,2011-01-10 00:00:00+00:00,0.325
price,2011-01-11 00:00:00+00:00,0.327
price,2011-01-12 00:00:00+00:00,0.323
price,2011-01-13 00:00:00+00:00,0.318
price,2011-01-14 00:00:00+00:00,0.359
price,2011-01-15 00:00:00+00:00,0.393
price,2011-01-16 00:00:00+00:00,0.393
price,2011-01-17 00:00:00+00:00,0.368
price,2011-01-18 00:00:00+00:00,0.331
price,2011-01-19 00:00:00+00:00,0.313
price,2011-01-20 00:00:00+00:00,0.351
price,2011-01-21 00:00:00+00:00,0.405
price,2011-01-22 00:00:00+00:00,0.427
price,2011-01-23 00:00:00+00:00,0.443
price,2011-01-24 00:00:00+00:00,0.431
price,2011-01-25 00:00:00+00:00,0.415
price,2011-01-26 00:00:00+00:00,0.414
price,2011-01-27 00:00:00+00:00,0.415
price,2011-01-28 00:00:00+00:00,0.434
price,2011-01-29 00:00:00+00:00,0.442
price,2011-01-30 00:00:00+00:00,0.462
price,2011-01-31 00:00:00+00:00,0.5
price,2011-02-01 00:00:00+00:00,0.626
price,2011-02-02 00:00:00+00:00,0.713
price,2011-02-03 00:00:00+00:00,0.706
price,2011-02-04 00:00:00+00:00,0.766
price,2011-02-05 00:00:00+00:00,0.88
price,2011-02-06 00:00:00+00:00,0.91
price,2011-02-07 00:00:00+00:00,0.895
price,2011-02-08 00:00:00+00:00,0.904
price,2011-02-09 00:00:00+00:00,0.998
price,2011-02-10 00:00:00+00:00,1.03
price,2011-02-11 00:00:00+00:00,1.025
price,2011-02-12 00:00:00+00:00,1.045
price,2011-02-13 00:00:00+00:00,1.051
price,2011-02-14 00:00:00+00:00,1.055
price,2011-02-15 00:00:00+00:00,1.053
price,2011-02-16 00:00:00+00:00,1.048
price,2011-02-17 00:00:00+00:00,1.043
price,2011-02-18 00:00:00+00:00,0.965
price,2011-02-19 00:00:00+00:00,0.893
price,2011-02-20 00:00:00+00:00,0.899
price,2011-02-21 00:00:00+00:00,0.833
price,2011-02-22 00:00:00+00:00,0.86
price,2011-02-23 00:00:00+00:00,0.905
price,2011-02-24 00:00:00+00:00,0.968
price,2011-02-25 00:00:00+00:00,0.941
price,2011-02-26 00:00:00+00:00,0.935
price,2011-02-27 00:00:00+00:00,0.924
price,2011-02-28 00:00:00+00:00,0.875
price,2011-03-01 00:00:00+00:00,0.89
price,2011-03-02 00:00:00+00:00,0.93
price,2011-03-03 00:00:00+00:00,0.926
price,2011-03-04 00:00:00+00:00,0.906
price,2011-03-05 00:00:00+00:00,0.91
price,2011-03-06 00:00:00+00:00,0.905
price,2011-03-07 00:00:00+00:00,0.878
price,2011-03-08 00:00:00+00:00,0.878
price,2011-03-09 00:00:00+00:00,0.858
price,2011-03-10 00:00:00+00:00,0.899
price,2011-03-11 00:00:00+00:00,0.885
price,2011-03-12 00:00:00+00:00,0.899
price,2011-03-13 00:00:00+00:00,0.896
price,2011-03-14 00:00:00+00:00,0.894
price,2011-03-15 00:00:00+00:00,0.882
price,2011-03-16 00:00:00+00:00,0.863
price,2011-03-17 00:00:00+00:00,0.835
price,2011-03-18 00:00:00+00:00,0.833
price,2011-03-19 00:00:00+00:00,0.771
price,2011-03-20 00:00:00+00:00,0.753
price,2011-03-21 00:00:00+00:00,0.76
price,2011-03-22 00:00:00+00:00,0.784
price,2011-03-23 00:00:00+00:00,0.83
price,2011-03-24 00:00:00+00:00,0.849
price,2011-03-25 00:00:00+00:00,0.875
price,2011-03-26 00:00:00+00:00,0.869
price,2011-03-27 00:00:00+00:00,0.825
price,2011-03-28 00:00:00+00:00,0.809
price,2011-03-29 00:00:00+00:00,0.796
price,2011-03-30 00:00:00+00:00,0.791
price,2011-03-31 00:00:00+00:00,0.787
price,2011-04-01 00:00:00+00:00,0.775
price,2011-04-02 00:00:00+00:00,0.778
price,2011-04-03 00:00:00+00:00,0.78
price,2011-04-04 00:00:00+00:00,0.729
price,2011-04-05 00:00:00+00:00,0.7
price,2011-04-06 00:00:00+00:00,0.744
price,2011-04-07 00:00:00+00:00,0.751
price,2011-04-08 00:00:00+00:00,0.752
price,2011-04-09 00:00:00+00:00,0.74
price,2011-04-10 00:00:00+00:00,0.743
price,2011-04-11 00:00:00+00:00,0.753
price,2011-04-12 00:00:00+00:00,0.819
price,2011-04-13 00:00:00+00:00,0.891
price,2011-04-14 00:00:00+00:00,0.97
price,2011-04-15 00:00:00+00:00,0.995
price,2011-04-16 00:00:00+00:00,1.017
price,2011-04-17 00:00:00+00:00,1.08
price,2011-04-18 00:00:00+00:00,1.15
price,2011-04-19 00:00:00+00:00,1.18
price,2011-04-20 00:00:00+00:00,1.162
price,2011-04-21 00:00:00+00:00,1.176
price,2011-04-22 00:00:00+00:00,1.31
price,2011-04-23 00:00:00+00:00,1.546
price,2011-04-24 00:00:00+00:00,1.716
price,2011-04-25 00:00:00+00:00,1.595
price,2011-04-26 00:00:00+00:00,1.687
price,2011-04-27 00:00:00+00:00,1.841
price,2011-04-28 00:00:00+00:00,2.046
price,2011-04-29 00:00:00+00:00,2.546
price,2011-04-30 00:00:00+00:00,3.215
price,2011-05-01 00:00:00+00:00,3.267
price,2011-05-02 00:00:00+00:00,3.149
price,2011-05-03 00:00:00+00:00,3.305
price,2011-05-04 00:00:00+00:00,3.441
price,2011-05-05 00:00:00+00:00,3.367
price,2011-05-06 00:00:00+00:00,3.393
price,2011-05-07 00:00:00+00:00,3.546
price,2011-05-08 00:00:00+00:00,3.753
price,2011-05-09 00:00:00+00:00,3.835
price,2011-05-10 00:00:00+00:00,4.81
price,2011-05-11 00:00:00+00:00,5.65
price,2011-05-12 00:00:00+00:00,5.895
price,2011-05-13 00:00:00+00:00,7.259
price,2011-05-14 00:00:00+00:00,7.659
price,2011-05-15 00:00:00+00:00,6.995
price,2011-05-16 00:00:00+00:00,7.512
price,2011-05-17 00:00:00+00:00,7.62
price,2011-05-18 00:00:00+00:00,7.036
price,2011-05-19 00:00:00+00:00,6.756
price,2011-05-20 00:00:00+00:00,6.198
price,2011-05-21 00:00:00+00:00,5.96
price,2011-05-22 00:00:00+00:00,6.415
price,2011-05-23 00:00:00+00:00,6.92
price,2011-05-24 00:00:00+00:00,7.285
price,2011-05-25 00:00:00+00:00,7.945
price,2011-05-26 00:00:00+00:00,8.524
price,2011-05-27 00:00:00+00:00,8.6
price,2011-05-28 00:00:00+00:00,8.425
price,2011-05-29 00:00:00+00:00,8.35
price,2011-05-30 00:00:00+00:00,8.624
price,2011-05-31 00:00:00+00:00,8.771
price,2011-06-01 00:00:00+00:00,9.156
price,2011-06-02 00:00:00+00:00,10.1
price,2011-06-03 00:00:00+00:00,12.445
price,2011-06-04 00:00:00+00:00,16.501
price,2011-06-05 00:00:00+00:00,17.833
price,2011-06-06 00:00:00+00:00,17.625
price,2011-06-07 00:00:00+00:00,21.092
price,2011-06-08 00:00:00+00:00,26.8
price,2011-06-09 00:00:00+00:00,29.415
price,2011-06-10 00:00:00+00:00,26.434
price,2011-06-11 00:00:00+00:00,19.301
price,2011-06-12 00:00:00+00:00,16.648
price,2011-06-13 00:00:00+00:00,19.194
price,2011-06-14 00:00:00+00:00,19.54
price,2011-06-15 00:00:00+00:00,19.385
price,2011-06-16 00:00:00+00:00,18.25
price,2011-06-17 00:00:00+00:00,16.341
price,2011-06-18 00:00:00+00:00,16.445
price,2011-06-19 00:00:00+00:00,17.18
price,2011-06-20 00:00:00+00:00,17.0
price,2011-06-21 00:00:00+00:00,17.0
price,2011-06-22 00:00:00+00:00,17.0
price,2011-06-23 00:00:00+00:00,17.0
price,2011-06-24 00:00:00+00:00,17.0
price,2011-06-25 00:00:00+00:00,17.0
price,2011-06-26 00:00:00+00:00,16.98
price,2011-06-27 00:00:00+00:00,16.6
price,2011-06-28 00:00:00+00:00,16.85
price,2011-06-29 00:00:00+00:00,16.9
price,2011-06-30 00:00:00+00:00,16.473
price,2011-07-01 00:00:00+00:00,15.736
price,2011-07-02 00:00:00+00:00,15.385
price,2011-07-03 00:00:00+00:00,15.42
price,2011-07-04 00:00:00+00:00,14.65
price,2011-07-05 00:00:00+00:00,13.392
price,2011-07-06 00:00:00+00:00,13.853
