dataset,modelo,tipo_feature,config,mae,mape,mse,rmse
dataset_teste,naive,estatistico,-,1.9680000000000064,1.0362894700087908,4.348760000000028,2.0853680730269244
dataset_teste,seasonal_naive,estatistico,-,3.651000000000008,1.9201304857111183,14.608390000000062,3.8220923589050098
dataset_teste,simple_es,estatistico,-,1.9679999967217328,1.0362894682847403,4.348759987096743,2.085368069933158
dataset_teste,holt,estatistico,-,0.9969753479110238,0.5235418986744321,2.2344431402482465,1.4948053854091663
dataset_teste,damped_es,estatistico,-,0.7319589848994383,0.38424626300839515,1.2572522681641938,1.1212726109935058
dataset_teste,ets,estatistico,-,0.9969753479110238,0.5235418986744321,2.2344431402482465,1.4948053854091663
dataset_teste,naive,estatistico,-,1.9680000000000064,1.0362894700087908,4.348760000000028,2.0853680730269244
dataset_teste,seasonal_naive,estatistico,-,3.651000000000008,1.9201304857111183,14.608390000000062,3.8220923589050098
dataset_teste,simple_es,estatistico,-,1.9679999967217328,1.0362894682847403,4.348759987096743,2.085368069933158
dataset_teste,holt,estatistico,-,0.9969753479110238,0.5235418986744321,2.2344431402482465,1.4948053854091663
dataset_teste,damped_es,estatistico,-,0.7319589848994383,0.38424626300839515,1.2572522681641938,1.1212726109935058
dataset_teste,ets,estatistico,-,0.9969753479110238,0.5235418986744321,2.2344431402482465,1.4948053854091663
dataset_teste,random_forest,lags,n=7,0.9950799999999418,0.5231075452545397,1.4019439999998382,1.1840371615789085
dataset_teste,xgboost,lags,n=7,0.8619151611328106,0.45291298365128996,1.1221377125067213,1.0593100171841676
dataset_teste,knn,lags,n=7,1.1777999999999964,0.6190876660500046,2.191951599999991,1.4805240963928925
dataset_teste,svr,lags,n=7,0.7907971178894911,0.4159066723868499,0.8291725538264176,0.910589124592655
dataset_teste,linear_regression,lags,n=7,0.5762712824243863,0.3026043074828039,0.5976688192599889,0.7730904340761104
